date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:19:48	602138/602138	---M--	200	added ('OK')	application/x-shockwave-flash	date:Mon,%2021%20Nov%202011%2014:24:23%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/flippingbook.swf	www.mathstar.biz/sfarim/mathematika7B/files/flippingbook.swf	(from http://www.mathstar.biz/sfarim/mathematika7B/files/)
17:19:48	3452/3452	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Nov%202011%2014:42:18%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/activefirst.png	www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/activefirst.png	(from http://www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/)
17:19:48	3419/3419	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Nov%202011%2014:42:19%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/activelast.png	www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/activelast.png	(from http://www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/)
17:19:49	3141/3141	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Nov%202011%2014:42:19%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/activenext.png	www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/activenext.png	(from http://www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/)
17:19:49	3131/3131	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Nov%202011%2014:42:20%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/activeprev.png	www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/activeprev.png	(from http://www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/)
17:19:49	4053/4053	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Nov%202011%2014:42:21%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/arrowleft.png	www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/arrowleft.png	(from http://www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/)
17:19:49	4042/4042	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Nov%202011%2014:42:21%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/arrowright.png	www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/arrowright.png	(from http://www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/)
17:19:50	4435/4435	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Nov%202011%2014:42:22%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/backbuttonactive.png	www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/backbuttonactive.png	(from http://www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/)
17:19:50	4401/4401	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Nov%202011%2014:42:22%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/backbuttoninactive.png	www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/backbuttoninactive.png	(from http://www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/)
17:19:50	4224/4224	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Nov%202011%2014:42:23%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/backbuttononclick.png	www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/backbuttononclick.png	(from http://www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/)
17:19:50	2849/2849	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Nov%202011%2014:42:23%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/contents.png	www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/contents.png	(from http://www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/)
17:19:51	49/49	---M--	200	added ('OK')	image/gif	date:Mon,%2021%20Nov%202011%2014:42:24%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/empty.gif	www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/empty.gif	(from http://www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/)
17:19:51	3462/3462	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Nov%202011%2014:42:24%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/inactivefirst.png	www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/inactivefirst.png	(from http://www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/)
17:19:51	3440/3440	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Nov%202011%2014:42:25%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/inactivelast.png	www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/inactivelast.png	(from http://www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/)
17:19:51	3162/3162	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Nov%202011%2014:42:25%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/inactivenext.png	www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/inactivenext.png	(from http://www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/)
17:19:51	3151/3151	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Nov%202011%2014:42:26%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/inactiveprev.png	www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/inactiveprev.png	(from http://www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/)
17:19:52	3446/3446	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Nov%202011%2014:42:27%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/inactiveslideshow.png	www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/inactiveslideshow.png	(from http://www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/)
17:19:52	3004/3004	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Nov%202011%2014:42:27%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/pagerenter.png	www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/pagerenter.png	(from http://www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/)
17:19:52	12291/12291	---M--	200	added ('OK')	image/gif	date:Mon,%2021%20Nov%202011%2014:42:28%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/progress.gif	www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/progress.gif	(from http://www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/)
17:19:52	1418/1418	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Nov%202011%2014:42:28%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/progress.png	www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/progress.png	(from http://www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/)
17:19:53	3461/3461	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Nov%202011%2014:42:29%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/slideshow.png	www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/slideshow.png	(from http://www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/)
17:19:53	2981/2981	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Nov%202011%2014:42:30%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/subtoc.png	www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/subtoc.png	(from http://www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/)
17:19:53	3469/3469	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Nov%202011%2014:42:31%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/tocbutton.png	www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/tocbutton.png	(from http://www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/)
17:19:53	876/876	---M-Z	200	added ('OK')	text/html	date:Fri,%2028%20Oct%202016%2014:19:53%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/tocborderimg/	www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/tocborderimg/index.html	(from http://www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/)
17:19:54	3401/3401	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Nov%202011%2014:42:31%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/tocbuttononclick.png	www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/tocbuttononclick.png	(from http://www.mathstar.biz/sfarim/mathematika7B/files/mobile/styles/)
17:19:55	5583/5583	---M-Z	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202011%2014:42:06%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/assets/seo/page2.html	www.mathstar.biz/sfarim/mathematika7B/files/assets/seo/page2.html	(from http://www.mathstar.biz/sfarim/mathematika7B/files/assets/seo/page1.html)
17:19:57	13423/13423	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202011%2014:24:40%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/assets/image/grey-outer.jpg	www.mathstar.biz/sfarim/mathematika7B/files/assets/image/grey-outer.jpg	(from http://www.mathstar.biz/sfarim/mathematika7B/files/assets/image/)
17:20:01	22253/22253	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202011%2014:24:44%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/page0002_i1.jpg	www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/page0002_i1.jpg	(from http://www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/)
